Date,Weight,Rep,Epley,Brzycki,Lombardi
12/23/20,190,1,190,190,190
12/25/20,200,1,200,200,200
1/7/21,175,4,198.31,196.230635,201.0222121
8/1/21,245,1,245,245,245
2/21/21,165,6,197.967,196.9651568,197.3781478
2/22/21,170,4,192.644,190.6240454,195.2787203
2/26/21,175,5,204.1375,202.3683618,205.558315
3/7/21,220,1,220,220,220
3/12/21,185,4,209.642,207.4438141,212.5091957
4/22/21,235,1,235,235,235
4/25/21,185,10,246.605,253.5916244,232.9012012
4/25/21,205,4,232.306,229.8701724,235.4831628
6/11/21,195,6,233.961,232.7770035,233.2650838
12/1/21,205,6,245.959,244.7142857,245.2273958
11/5/21,205,5,239.1325,237.060081,240.7968833
11/19/21,215,4,243.638,241.0833515,246.9701463
11/28/21,225,4,254.97,252.2965307,258.4571299
12/3/21,225,3,247.4775,244.8697586,251.1277142
12/10/21,215,4,243.638,241.0833515,246.9701463
12/17/21,225,4,254.97,252.2965307,258.4571299
12/25/21,225,6,269.955,268.5888502,269.1520197
1/21/22,225,5,262.4625,260.1878938,264.2892622
1/28/21,225,5,262.4625,260.1878938,264.2892622
2/4/22,235,4,266.302,263.5097098,269.9441134
2/11/22,240,4,271.968,269.1162994,275.6876052
2/25/22,225,5,262.4625,260.1878938,264.2892622
3/5/22,285,1,285,285,285
3/25/22,235,5,274.1275,271.7518002,276.0354516
4/1/22,235,5,274.1275,271.7518002,276.0354516
4/8/22,235,6,281.953,280.5261324,281.1143317
4/15/22,275,1,275,275,275
4/28/22,245,5,285.7925,283.3157066,287.7816411
5/5/22,245,4,277.634,274.7228889,281.431097
5/13/22,225,8,284.94,287.1306183,277.007493
5/19/22,250,3,274.975,272.0775095,279.0307935
5/27/22,245,6,293.951,292.4634146,293.0766437
6/3/22,245,6,293.951,292.4634146,293.0766437
6/9/22,245,5,285.7925,283.3157066,287.7816411
6/16/22,245,5,285.7925,283.3157066,287.7816411
7/21/22,245,5,285.7925,283.3157066,287.7816411
7/21/22,225,7,277.4475,277.5504081,273.3331599
8/19/22,255,3,280.4745,277.5190597,284.6114094
8/25/22,225,8,284.94,287.1306183,277.007493
9/2/22,245,4,277.634,274.7228889,281.431097
9/8/22,245,6,293.951,292.4634146,293.0766437
9/22/22,245,10,326.585,335.8375567,308.4367259
9/29/22,245,6,293.951,292.4634146,293.0766437
10/6/22,245,9,318.4265,323.8310185,305.2040802
10/21/22,250,9,324.925,330.4398148,311.4327349
11/3/22,255,9,331.4235,337.0486111,317.6613896
11/11/22,245,6,293.951,292.4634146,293.0766437
11/18/22,275,3,302.4725,299.2852605,306.9338729
12/2/22,275,3,302.4725,299.2852605,306.9338729
12/29/22,225,10,299.925,308.4222459,283.2582177
1/26/23,265,5,309.1225,306.4435194,311.2740199
2/2/23,270,5,314.955,312.2254725,317.1471146
10/21/21,205,5,239.1325,237.060081,240.7968833
10/25/21,205,5,239.1325,237.060081,240.7968833
11/1/21,205,3,225.4795,223.1035578,228.8052507
11/8/21,205,4,232.306,229.8701724,235.4831628
11/16/21,205,5,239.1325,237.060081,240.7968833
11/23/21,255,1,255,255,255
11/29/21,215,4,243.638,241.0833515,246.9701463
12/6/21,215,4,243.638,241.0833515,246.9701463
12/13/21,225,4,254.97,252.2965307,258.4571299
12/20/21,205,5,239.1325,237.060081,240.7968833
12/28/21,205,8,259.612,261.6078967,252.3846047
1/3/22,225,5,262.4625,260.1878938,264.2892622
1/24/22,225,5,262.4625,260.1878938,264.2892622
1/31/22,225,7,277.4475,277.5504081,273.3331599
2/7/22,235,5,274.1275,271.7518002,276.0354516
2/21/22,245,5,285.7925,283.3157066,287.7816411
3/21/22,225,7,277.4475,277.5504081,273.3331599
3/28/22,235,4,266.302,263.5097098,269.9441134
4/4/22,235,6,281.953,280.5261324,281.1143317
4/11/22,225,8,284.94,287.1306183,277.007493
4/18/22,225,8,284.94,287.1306183,277.007493
5/2/22,225,10,299.925,308.4222459,283.2582177
5/9/22,235,5,274.1275,271.7518002,276.0354516
5/16/22,245,6,293.951,292.4634146,293.0766437
5/24/22,225,8,284.94,287.1306183,277.007493
7/4/22,245,5,285.7925,283.3157066,287.7816411
7/18/22,225,8,284.94,287.1306183,277.007493
8/1/22,245,6,293.951,292.4634146,293.0766437
8/9/22,245,5,285.7925,283.3157066,287.7816411
8/22/22,245,5,285.7925,283.3157066,287.7816411
8/29/22,225,8,284.94,287.1306183,277.007493
9/5/22,225,8,284.94,287.1306183,277.007493
9/19/22,225,8,284.94,287.1306183,277.007493
9/25/22,300,1,300,300,300
8/10/22,245,8,310.268,312.65334,301.6303813
8/24/22,245,5,285.7925,283.3157066,287.7816411
8/31/22,245,5,285.7925,283.3157066,287.7816411
11/15/22,245,5,285.7925,283.3157066,287.7816411
11/22/22,245,6,293.951,292.4634146,293.0766437
12/19/22,245,6,293.951,292.4634146,293.0766437
12/26/22,275,4,311.63,308.3624264,315.8920476
1/16/23,250,6,299.95,298.4320557,299.0577997
1/23/23,245,5,285.7925,283.3157066,287.7816411
2/6/23,275,4,311.63,308.3624264,315.8920476
2/14/23,255,5,297.4575,294.879613,299.5278305
2/21/23,255,5,297.4575,294.879613,299.5278305
2/23/23,235,6,281.953,280.5261324,281.1143317
2/28/23,228,8,288.7392,290.9590266,280.7009262
3/5/23,245,6,293.951,292.4634146,293.0766437
3/8/23,245,6,293.951,292.4634146,293.0766437
3/10/23,235,10,313.255,322.1299013,295.8474718
3/20/23,245,7,302.1095,302.2215554,297.6294408
3/26/23,235,8,297.604,299.8919791,289.3189371
4/2/23,245,6,293.951,292.4634146,293.0766437
4/17/23,245,6,293.951,292.4634146,293.0766437
4/20/23,225,10,299.925,308.4222459,283.2582177
4/24/23,235,6,281.953,280.5261324,281.1143317
4/26/23,260,3,285.974,282.9606099,290.1920252
5/2/23,275,3,302.4725,299.2852605,306.9338729
5/10/23,245,6,293.951,292.4634146,293.0766437
5/17/23,245,6,293.951,292.4634146,293.0766437
5/31/23,245,7,302.1095,302.2215554,297.6294408
6/6/23,285,3,313.4715,310.1683609,318.0951046
6/12/23,255,7,314.4405,314.5571291,309.7775812
6/15/23,265,4,300.298,297.1492472,304.4050641
6/19/23,240,8,303.936,306.2726595,295.4746592
6/27/23,245,8,310.268,312.65334,301.6303813
7/11/23,245,8,310.268,312.65334,301.6303813
8/12/23,275,3,302.4725,299.2852605,306.9338729
9/24/23,275,6,329.945,328.2752613,328.9635797
10/13/23,245,8,310.268,312.65334,301.6303813
10/16/23,275,5,320.7875,309.4059406,323.0202093
11/11/23,275,6,329.945,328.2752613,328.9635797
12/19/23,290,2,309.314,306.5850648,310.8143041
11/25/23,330,1,330,330,330